,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[166],4.116,1.722,0.691,7.464
likelihood_unobserved[167],3.226,1.741,-0.071,6.697
likelihood_unobserved[168],4.066,1.749,0.721,7.525
likelihood_unobserved[169],3.239,1.703,-0.032,6.681
likelihood_unobserved[170],4.126,1.711,0.797,7.486
likelihood_unobserved[171],3.202,1.753,-0.442,6.449
likelihood_unobserved[172],4.105,1.711,0.824,7.513
likelihood_unobserved[173],3.265,1.743,-0.128,6.603
likelihood_unobserved[174],4.151,1.679,0.674,7.302
likelihood_unobserved[175],3.227,1.724,-0.082,6.671
likelihood_unobserved[176],4.059,1.749,0.583,7.477
likelihood_unobserved[177],3.242,1.715,-0.115,6.605
likelihood_unobserved[178],4.113,1.731,0.907,7.638
likelihood_unobserved[179],3.207,1.703,-0.112,6.464
likelihood_unobserved[180],4.085,1.691,0.889,7.442
likelihood_unobserved[181],3.297,1.747,-0.108,6.699
likelihood_unobserved[182],4.177,1.719,0.841,7.467
likelihood_unobserved[183],3.245,1.722,-0.027,6.728
likelihood_unobserved[184],4.091,1.74,0.652,7.401
likelihood_unobserved[185],3.281,1.722,-0.106,6.587
likelihood_unobserved[186],4.132,1.729,0.629,7.402
likelihood_unobserved[187],3.253,1.708,-0.114,6.621
likelihood_unobserved[188],4.093,1.743,0.593,7.361
likelihood_unobserved[189],3.28,1.732,-0.077,6.659
likelihood_unobserved[190],4.139,1.731,0.653,7.483
likelihood_unobserved[191],3.266,1.714,-0.078,6.679
likelihood_unobserved[192],4.149,1.71,0.752,7.403
likelihood_unobserved[193],3.24,1.709,-0.053,6.611
likelihood_unobserved[194],4.081,1.734,0.76,7.452
likelihood_unobserved[195],3.287,1.721,-0.08,6.531
likelihood_unobserved[196],4.129,1.729,0.826,7.498
likelihood_unobserved[197],3.218,1.718,-0.235,6.395
likelihood_unobserved[198],4.087,1.742,0.728,7.544
likelihood_unobserved[199],3.257,1.747,-0.072,6.768
likelihood_unobserved[200],4.128,1.735,0.68,7.438
likelihood_unobserved[201],3.221,1.701,-0.142,6.466
likelihood_unobserved[202],4.117,1.723,0.796,7.59
likelihood_unobserved[203],3.291,1.702,0.016,6.641
likelihood_unobserved[204],4.158,1.718,0.711,7.436
likelihood_unobserved[205],3.209,1.708,-0.273,6.441
likelihood_unobserved[206],4.067,1.735,0.725,7.569
likelihood_unobserved[207],3.295,1.741,-0.105,6.673
likelihood_unobserved[208],4.093,1.746,0.702,7.485
likelihood_unobserved[209],3.213,1.714,-0.211,6.454
likelihood_unobserved[210],4.073,1.743,0.758,7.549
likelihood_unobserved[211],3.271,1.697,-0.228,6.442
likelihood_unobserved[212],4.125,1.703,0.679,7.387
likelihood_unobserved[213],3.208,1.707,-0.116,6.495
likelihood_unobserved[214],4.107,1.763,0.545,7.472
likelihood_unobserved[215],3.263,1.709,-0.177,6.497
likelihood_unobserved[216],4.113,1.706,0.756,7.482
likelihood_unobserved[217],3.209,1.726,-0.128,6.586
likelihood_unobserved[218],4.079,1.734,0.62,7.399
likelihood_unobserved[219],3.25,1.687,0.136,6.806
likelihood_unobserved[220],4.132,1.742,0.692,7.486
likelihood_unobserved[221],3.227,1.718,-0.156,6.527
likelihood_unobserved[222],4.078,1.685,0.825,7.366
likelihood_unobserved[223],3.267,1.76,-0.173,6.715
likelihood_unobserved[224],4.151,1.726,0.813,7.547
likelihood_unobserved[225],3.214,1.768,-0.182,6.672
likelihood_unobserved[226],4.074,1.727,0.523,7.335
