,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[136],119.313,556.311,-1020.95,1162.943
likelihood_unobserved[137],88.413,553.421,-1006.747,1141.388
likelihood_unobserved[138],136.109,554.886,-970.893,1198.381
likelihood_unobserved[139],62.749,566.516,-1005.416,1209.91
likelihood_unobserved[140],111.739,545.096,-947.062,1142.399
likelihood_unobserved[141],58.764,547.809,-1012.934,1157.062
likelihood_unobserved[142],111.065,560.56,-979.076,1210.374
likelihood_unobserved[143],57.869,551.224,-1006.435,1181.86
likelihood_unobserved[144],112.367,551.237,-978.286,1163.783
likelihood_unobserved[145],68.662,559.647,-1074.702,1130.677
likelihood_unobserved[146],115.617,549.771,-930.018,1204.203
likelihood_unobserved[147],68.11,553.043,-1059.326,1093.971
likelihood_unobserved[148],124.514,555.711,-958.133,1218.281
likelihood_unobserved[149],92.062,549.189,-976.399,1152.573
likelihood_unobserved[150],138.152,556.978,-916.179,1240.835
likelihood_unobserved[151],79.684,553.036,-972.433,1141.703
likelihood_unobserved[152],121.233,562.888,-978.821,1216.142
likelihood_unobserved[153],65.205,568.213,-1071.241,1162.023
likelihood_unobserved[154],123.935,552.684,-969.085,1182.488
likelihood_unobserved[155],74.133,561.244,-981.102,1213.988
likelihood_unobserved[156],128.592,545.582,-893.64,1238.513
likelihood_unobserved[157],79.394,555.195,-1011.747,1191.956
likelihood_unobserved[158],126.61,562.918,-954.395,1229.999
likelihood_unobserved[159],69.04,545.238,-944.922,1170.931
likelihood_unobserved[160],113.234,555.821,-983.726,1197.966
likelihood_unobserved[161],80.334,557.603,-1065.89,1120.742
likelihood_unobserved[162],132.95,554.841,-943.962,1219.159
likelihood_unobserved[163],70.83,556.332,-1036.771,1150.78
likelihood_unobserved[164],128.96,544.706,-876.927,1263.471
likelihood_unobserved[165],73.793,555.336,-1034.778,1169.84
likelihood_unobserved[166],116.134,561.283,-989.491,1217.467
likelihood_unobserved[167],71.996,566.157,-997.299,1194.273
likelihood_unobserved[168],122.612,562.888,-991.012,1227.985
likelihood_unobserved[169],68.229,556.588,-987.503,1160.085
likelihood_unobserved[170],119.46,554.095,-983.281,1199.302
likelihood_unobserved[171],78.105,548.087,-984.985,1162.478
likelihood_unobserved[172],133.092,562.762,-968.716,1230.113
likelihood_unobserved[173],74.093,562.395,-1034.059,1164.768
likelihood_unobserved[174],123.386,560.167,-1011.552,1175.348
likelihood_unobserved[175],74.836,554.672,-1024.556,1154.829
likelihood_unobserved[176],122.38,556.449,-992.108,1197.908
likelihood_unobserved[177],73.342,549.592,-989.248,1162.697
likelihood_unobserved[178],122.088,547.685,-941.583,1173.804
likelihood_unobserved[179],82.199,550.291,-976.825,1183.701
likelihood_unobserved[180],135.694,545.696,-961.172,1177.611
likelihood_unobserved[181],85.163,549.632,-1018.841,1138.993
likelihood_unobserved[182],136.729,551.317,-956.671,1201.46
likelihood_unobserved[183],77.937,557.837,-994.542,1162.53
likelihood_unobserved[184],141.88,553.116,-989.182,1179.421
likelihood_unobserved[185],92.882,563.891,-1004.772,1180.996
likelihood_unobserved[186],136.848,551.197,-925.48,1231.529
likelihood_unobserved[187],82.835,550.338,-987.88,1152.645
likelihood_unobserved[188],138.592,542.34,-881.938,1206.633
likelihood_unobserved[189],92.931,557.52,-983.133,1201.645
likelihood_unobserved[190],140.101,550.918,-940.901,1196.734
likelihood_unobserved[191],77.863,544.193,-979.827,1133.375
likelihood_unobserved[192],129.383,547.373,-961.386,1153.529
likelihood_unobserved[193],72.045,545.27,-961.271,1171.569
likelihood_unobserved[194],117.4,562.005,-965.409,1213.073
likelihood_unobserved[195],75.397,559.141,-1027.729,1153.156
likelihood_unobserved[196],129.716,555.442,-1019.37,1146.807
likelihood_unobserved[197],83.581,549.722,-967.456,1170.911
likelihood_unobserved[198],132.769,556.264,-972.653,1204.888
likelihood_unobserved[199],81.294,563.347,-1012.546,1204.815
likelihood_unobserved[200],135.713,557.594,-949.484,1206.989
likelihood_unobserved[201],104.818,559.078,-982.005,1194.613
likelihood_unobserved[202],154.956,562.875,-936.42,1261.62
likelihood_unobserved[203],110.023,544.761,-930.211,1196.071
likelihood_unobserved[204],163.077,558.97,-909.939,1306.152
likelihood_unobserved[205],89.33,557.133,-982.444,1188.049
likelihood_unobserved[206],141.911,544.643,-944.364,1178.738
likelihood_unobserved[207],96.427,559.68,-1017.53,1179.271
likelihood_unobserved[208],144.989,554.992,-936.628,1254.482
likelihood_unobserved[209],77.186,551.884,-972.156,1179.117
likelihood_unobserved[210],119.505,555.212,-976.994,1190.797
likelihood_unobserved[211],73.067,553.264,-1044.67,1111.894
likelihood_unobserved[212],126.388,565.666,-969.135,1234.589
likelihood_unobserved[213],66.94,547.379,-1042.714,1079.068
likelihood_unobserved[214],118.199,554.003,-1005.305,1150.767
likelihood_unobserved[215],61.179,560.261,-1016.856,1163.902
likelihood_unobserved[216],114.019,564.962,-981.281,1218.853
likelihood_unobserved[217],57.87,555.188,-1022.382,1162.487
likelihood_unobserved[218],114.63,551.49,-1028.729,1152.049
likelihood_unobserved[219],68.339,554.715,-1034.847,1123.999
likelihood_unobserved[220],116.774,549.185,-955.05,1170.254
likelihood_unobserved[221],76.511,559.685,-1017.256,1158.219
likelihood_unobserved[222],120.889,553.088,-960.443,1178.939
likelihood_unobserved[223],81.988,551.954,-989.153,1164.64
likelihood_unobserved[224],124.855,547.833,-917.711,1219.537
likelihood_unobserved[225],72.276,548.835,-1003.747,1163.946
likelihood_unobserved[226],125.947,560.356,-1026.976,1165.076
likelihood_unobserved[227],77.442,554.784,-999.27,1156.594
likelihood_unobserved[228],124.105,559.626,-917.628,1267.676
likelihood_unobserved[229],74.144,551.457,-1010.655,1177.288
likelihood_unobserved[230],120.018,544.64,-947.229,1161.582
