,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[280],3.657,2.222,-0.64,8.052
likelihood_unobserved[281],2.813,2.238,-1.422,7.146
likelihood_unobserved[282],2.717,2.177,-1.076,7.475
likelihood_unobserved[283],2.742,2.175,-1.76,6.711
likelihood_unobserved[284],2.672,2.178,-1.632,6.678
likelihood_unobserved[285],2.671,2.169,-1.538,6.837
likelihood_unobserved[286],2.685,2.227,-1.747,6.924
likelihood_unobserved[287],2.737,2.356,-1.619,7.22
likelihood_unobserved[288],2.745,2.215,-1.435,7.114
likelihood_unobserved[289],2.722,2.325,-1.761,7.262
likelihood_unobserved[290],3.636,2.045,-0.278,7.573
likelihood_unobserved[291],2.88,2.278,-1.547,7.304
likelihood_unobserved[292],3.657,2.137,-0.476,7.767
likelihood_unobserved[293],2.81,2.236,-1.539,7.176
likelihood_unobserved[294],3.591,2.109,-0.223,8.14
likelihood_unobserved[295],2.74,2.256,-1.302,7.507
likelihood_unobserved[296],3.566,2.227,-1.048,7.731
likelihood_unobserved[297],2.788,2.371,-1.805,7.526
likelihood_unobserved[298],2.714,2.235,-1.338,7.3
likelihood_unobserved[299],2.628,2.19,-1.452,6.871
likelihood_unobserved[300],3.636,2.175,-0.595,7.858
likelihood_unobserved[301],2.706,2.287,-1.698,6.938
likelihood_unobserved[302],3.72,2.272,-0.545,8.123
likelihood_unobserved[303],2.882,2.295,-1.431,7.356
likelihood_unobserved[304],3.53,2.304,-0.872,8.082
likelihood_unobserved[305],2.732,2.229,-1.353,7.408
likelihood_unobserved[306],3.536,2.197,-0.775,7.786
likelihood_unobserved[307],2.776,2.29,-1.675,7.423
likelihood_unobserved[308],3.481,2.211,-0.687,7.748
likelihood_unobserved[309],2.795,2.237,-1.633,7.062
likelihood_unobserved[310],3.57,2.18,-0.324,8.024
likelihood_unobserved[311],2.76,2.179,-1.272,7.321
likelihood_unobserved[312],2.684,2.33,-1.637,7.476
likelihood_unobserved[313],2.687,2.267,-1.459,7.265
likelihood_unobserved[314],3.472,2.238,-0.849,7.666
likelihood_unobserved[315],2.7,2.201,-1.372,6.962
likelihood_unobserved[316],3.647,2.209,-0.53,8.156
likelihood_unobserved[317],2.815,2.221,-1.744,6.793
likelihood_unobserved[318],2.707,2.19,-1.483,6.952
likelihood_unobserved[319],2.678,2.276,-1.769,6.974
likelihood_unobserved[320],3.619,2.258,-0.761,8.074
likelihood_unobserved[321],2.809,2.29,-1.924,7.187
likelihood_unobserved[322],3.527,2.213,-0.657,7.898
likelihood_unobserved[323],2.707,2.237,-1.714,6.859
likelihood_unobserved[324],3.629,2.213,-0.564,7.833
likelihood_unobserved[325],2.734,2.216,-1.503,7.01
likelihood_unobserved[326],3.717,2.327,-0.677,8.629
likelihood_unobserved[327],2.896,2.209,-1.211,7.383
likelihood_unobserved[328],3.532,2.257,-0.764,7.97
likelihood_unobserved[329],2.722,2.239,-1.662,7.103
likelihood_unobserved[330],3.511,2.274,-0.743,7.955
likelihood_unobserved[331],2.805,2.209,-1.649,6.979
likelihood_unobserved[332],3.611,2.208,-0.824,7.905
likelihood_unobserved[333],2.805,2.325,-1.567,7.168
