,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[199],0.002,0.001,0.001,0.003
likelihood_unobserved[200],0.006,0.001,0.004,0.007
likelihood_unobserved[201],0.007,0.007,0.001,0.014
likelihood_unobserved[202],0.004,0.003,0.001,0.006
likelihood_unobserved[203],0.004,0.003,0.001,0.007
likelihood_unobserved[204],0.002,0.001,0.002,0.003
likelihood_unobserved[205],0.004,0.003,0.002,0.007
likelihood_unobserved[206],0.005,0.004,0.001,0.009
likelihood_unobserved[207],0.002,0.001,0.001,0.003
likelihood_unobserved[208],0.002,0.0,0.002,0.003
likelihood_unobserved[209],0.004,0.002,0.002,0.006
likelihood_unobserved[210],0.002,0.001,0.001,0.004
likelihood_unobserved[211],0.004,0.002,0.002,0.005
likelihood_unobserved[212],0.003,0.001,0.002,0.003
likelihood_unobserved[213],0.006,0.002,0.004,0.008
likelihood_unobserved[214],0.003,0.0,0.003,0.003
likelihood_unobserved[215],0.003,0.001,0.002,0.004
likelihood_unobserved[216],0.003,0.0,0.003,0.003
likelihood_unobserved[217],0.005,0.004,0.001,0.009
likelihood_unobserved[218],0.002,0.0,0.001,0.002
likelihood_unobserved[219],0.003,0.002,0.001,0.005
likelihood_unobserved[220],0.005,0.002,0.002,0.007
likelihood_unobserved[221],0.004,0.0,0.004,0.004
likelihood_unobserved[222],0.005,0.001,0.004,0.005
likelihood_unobserved[223],0.002,0.0,0.001,0.002
likelihood_unobserved[224],0.003,0.0,0.002,0.003
likelihood_unobserved[225],0.003,0.001,0.002,0.004
likelihood_unobserved[226],0.008,0.001,0.007,0.009
likelihood_unobserved[227],0.006,0.004,0.002,0.01
likelihood_unobserved[228],0.002,0.0,0.002,0.003
likelihood_unobserved[229],0.003,0.001,0.002,0.004
likelihood_unobserved[230],0.005,0.001,0.004,0.005
likelihood_unobserved[231],0.002,0.0,0.002,0.003
likelihood_unobserved[232],0.005,0.002,0.003,0.008
likelihood_unobserved[233],0.003,0.002,0.001,0.004
likelihood_unobserved[234],0.003,0.0,0.003,0.003
likelihood_unobserved[235],0.004,0.001,0.003,0.005
likelihood_unobserved[236],0.003,0.002,0.001,0.005
likelihood_unobserved[237],0.002,0.0,0.001,0.002
likelihood_unobserved[238],0.007,0.0,0.006,0.007
likelihood_unobserved[239],0.002,0.001,0.001,0.002
likelihood_unobserved[240],0.008,0.002,0.006,0.01
likelihood_unobserved[241],0.007,0.006,0.001,0.013
likelihood_unobserved[242],0.004,0.001,0.003,0.005
likelihood_unobserved[243],0.005,0.004,0.001,0.01
likelihood_unobserved[244],0.006,0.002,0.004,0.008
likelihood_unobserved[245],0.008,0.005,0.002,0.013
likelihood_unobserved[246],0.005,0.004,0.001,0.009
likelihood_unobserved[247],0.002,0.001,0.001,0.003
likelihood_unobserved[248],0.003,0.001,0.002,0.004
likelihood_unobserved[249],0.003,0.001,0.001,0.004
likelihood_unobserved[250],0.007,0.005,0.002,0.011
likelihood_unobserved[251],0.006,0.001,0.005,0.007
likelihood_unobserved[252],0.006,0.003,0.003,0.009
likelihood_unobserved[253],0.003,0.002,0.001,0.005
likelihood_unobserved[254],0.006,0.002,0.003,0.008
likelihood_unobserved[255],0.002,0.0,0.001,0.002
likelihood_unobserved[256],0.008,0.004,0.003,0.012
likelihood_unobserved[257],0.002,0.001,0.002,0.003
likelihood_unobserved[258],0.003,0.001,0.002,0.004
likelihood_unobserved[259],0.005,0.001,0.004,0.005
likelihood_unobserved[260],0.003,0.0,0.003,0.003
likelihood_unobserved[261],0.004,0.003,0.001,0.007
likelihood_unobserved[262],0.004,0.0,0.004,0.004
likelihood_unobserved[263],0.002,0.0,0.002,0.002
likelihood_unobserved[264],0.006,0.005,0.001,0.011
likelihood_unobserved[265],0.007,0.005,0.002,0.012
likelihood_unobserved[266],0.006,0.002,0.004,0.008
likelihood_unobserved[267],0.007,0.004,0.002,0.011
likelihood_unobserved[268],0.004,0.003,0.001,0.007
likelihood_unobserved[269],0.002,0.001,0.001,0.003
likelihood_unobserved[270],0.003,0.001,0.001,0.004
likelihood_unobserved[271],0.004,0.002,0.001,0.006
likelihood_unobserved[272],0.003,0.002,0.001,0.004
likelihood_unobserved[273],0.003,0.002,0.001,0.005
likelihood_unobserved[274],0.002,0.001,0.001,0.004
